Model,MAE,RMSE,R2,MAPE
Ridge (alpha=0.1),4.8172,8.9934,0.9379,44.44
Lasso (alpha=1.0),4.6464,8.7064,0.9418,47.44
"RF — baseline (100 trees, no depth limit)",4.4455,8.6718,0.9423,41.04
"RF — 200 trees, depth=10, leaf=2",4.3771,8.1814,0.9486,40.29
"RF — 200 trees, depth=20, leaf=2",4.3825,8.172,0.9487,40.04
"RF — 300 trees, depth=None, leaf=4",4.3975,8.4439,0.9453,40.3
RF — no lag features (spatial only),6.4728,17.1396,0.7745,61.81
"RF — baseline (100 trees, no depth limit)",4.4455,8.6718,0.9423,41.04
"RF — 200 trees, depth=10, leaf=2",4.3771,8.1814,0.9486,40.29
"RF — 200 trees, depth=20, leaf=2",4.3825,8.172,0.9487,40.04
"RF — 300 trees, depth=None, leaf=4",4.3975,8.4439,0.9453,40.3
RF — no lag features (spatial only),6.4728,17.1396,0.7745,61.81
XGBoost — baseline,4.5809,9.3732,0.9326,43.9
XGBoost — early stopping (iter=371),4.6011,9.7131,0.9276,43.1
XGBoost — shallow trees (depth=4),4.668,10.2395,0.9195,44.59
XGBoost — deep trees (depth=8),4.5636,9.4262,0.9318,41.84
XGBoost — strong regularisation,4.5881,9.5826,0.9295,42.98
XGBoost — slow LR=0.01 (iter=2343),4.5466,9.3946,0.9323,42.47
XGBoost — wide trees depth=7 LR=0.02 (iter=808),4.5379,9.2687,0.9341,41.87
SARIMA — auto order AIC (per LSOA),8.0395,16.2988,0.7972,54.52
LSTM — simple (64 units),5.4162,21.3719,0.6607,51.06999969482422
LSTM — stacked (128→64 units),6.3483,20.7253,0.681,77.2300033569336
LSTM — bidirectional (96 units),6.0393,20.9843,0.6729,66.43000030517578
"LSTM — deep (256→128→64 units, L2 reg)",5.1272,17.7599,0.7657,44.16999816894531
"LSTM — attention (256→128→64 units, Huber loss)",5.3924,18.1005,0.7566,51.04999923706055
