Model,MAE,RMSE,R2,MAPE
"LSTM — deep (256→128→64 units, L2 reg)",5.1272,17.7599,0.7657,44.16999816894531
"LSTM — attention (256→128→64 units, Huber loss)",5.3924,18.1005,0.7566,51.04999923706055
ENSEMBLE — Median (all 5 models),5.4003,20.2881,0.6943,53.15999984741211
ENSEMBLE — Median (all 5 models),5.4003,20.2881,0.6943,53.15999984741211
LSTM — simple (64 units),5.4162,21.3719,0.6607,51.06999969482422
ENSEMBLE — Weighted by MAE (all 5 models),5.4165,19.4837,0.718,55.67
ENSEMBLE — Weighted by MAE (all 5 models),5.4165,19.4837,0.718,55.67
ENSEMBLE — Average (all 5 models),5.4508,19.5623,0.7158,56.61000061035156
ENSEMBLE — Average (all 5 models),5.4508,19.5623,0.7158,56.61000061035156
LSTM — bidirectional (96 units),6.0393,20.9843,0.6729,66.43000030517578
LSTM — stacked (128→64 units),6.3483,20.7253,0.681,77.2300033569336
